category,count,mean,median,std
default,152,2.835526315789474,3.0,1.4256128179094283
nonfiction,110,2.881818181818182,3.0,1.4059625204253139
sequential art,75,2.973333333333333,3.0,1.3453958860090551
add a comment,67,2.7611940298507465,3.0,1.3381302223943041
fiction,65,3.1846153846153844,3.0,1.4458162453730472
young adult,54,3.2962962962962963,4.0,1.5125840644610458
fantasy,47,3.0425531914893615,3.0,1.4135592881940233
romance,35,2.6285714285714286,3.0,1.3738249371674667
mystery,32,2.9375,3.0,1.3897667476606375
food and drink,30,2.9,3.0,1.493664782593009
