source,title,price,rating,category,availability
books.toscrape,A Light in the Attic,£51.77,Three,Poetry,In stock
books.toscrape,Tipping the Velvet,£53.74,One,Historical Fiction,In stock
books.toscrape,Soumission,£50.10,One,Fiction,In stock
books.toscrape,Sharp Objects,£47.82,Four,Mystery,In stock
books.toscrape,Sapiens: A Brief History of Humankind,£54.23,Five,History,In stock
books.toscrape,The Requiem Red,£22.65,One,Young Adult,In stock
books.toscrape,The Dirty Little Secrets of Getting Your Dream Job,£33.34,Four,Business,In stock
books.toscrape,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",£17.93,Three,Default,In stock
books.toscrape,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,£22.60,Four,Default,In stock
books.toscrape,The Black Maria,£52.15,One,Poetry,In stock
books.toscrape,"Starving Hearts (Triangular Trade Trilogy, #1)",£13.99,Two,Default,In stock
books.toscrape,Shakespeare's Sonnets,£20.66,Four,Poetry,In stock
books.toscrape,Set Me Free,£17.46,Five,Young Adult,In stock
books.toscrape,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),£52.29,Five,Sequential Art,In stock
books.toscrape,Rip it Up and Start Again,£35.02,Five,Music,In stock
books.toscrape,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",£57.25,Three,Music,In stock
books.toscrape,Olio,£23.88,One,Poetry,In stock
books.toscrape,Mesaerion: The Best Science Fiction Stories 1800-1849,£37.59,One,Science Fiction,In stock
books.toscrape,Libertarianism for Beginners,£51.33,Two,Politics,In stock
books.toscrape,It's Only the Himalayas,£45.17,Two,Travel,In stock
books.toscrape,In Her Wake,£12.84,One,Thriller,In stock
books.toscrape,How Music Works,£37.32,Two,Music,In stock
books.toscrape,"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",£30.52,Three,Food and Drink,In stock
books.toscrape,Chase Me (Paris Nights #2),£25.27,Five,Romance,In stock
books.toscrape,Black Dust,£34.53,Five,Romance,In stock
books.toscrape,Birdsong: A Story in Pictures,£54.64,Three,Childrens,In stock
books.toscrape,America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,£22.50,Three,Default,In stock
books.toscrape,Aladdin and His Wonderful Lamp,£53.13,Three,Default,In stock
