source,title,price,rating,category,availability
books.toscrape,a light in the attic,51.77,3.0,poetry,in stock
books.toscrape,tipping the velvet,53.74,1.0,historical fiction,in stock
books.toscrape,soumission,50.1,1.0,fiction,in stock
books.toscrape,sharp objects,47.82,4.0,mystery,in stock
books.toscrape,sapiens a brief history of humankind,54.23,5.0,history,in stock
books.toscrape,the requiem red,22.65,1.0,young adult,in stock
books.toscrape,the dirty little secrets of getting your dream job,33.34,4.0,business,in stock
books.toscrape,the coming woman a novel based on the life of the infamous feminist victoria woodhull,17.93,3.0,default,in stock
books.toscrape,the boys in the boat nine americans and their epic quest for gold at the 1936 berlin olympics,22.6,4.0,default,in stock
books.toscrape,the black maria,52.15,1.0,poetry,in stock
books.toscrape,starving hearts triangular trade trilogy 1,13.99,2.0,default,in stock
books.toscrape,shakespeares sonnets,20.66,4.0,poetry,in stock
books.toscrape,set me free,17.46,5.0,young adult,in stock
books.toscrape,scott pilgrims precious little life scott pilgrim 1,52.29,5.0,sequential art,in stock
books.toscrape,rip it up and start again,35.02,5.0,music,in stock
books.toscrape,our band could be your life scenes from the american indie underground 19811991,57.25,3.0,music,in stock
books.toscrape,olio,23.88,1.0,poetry,in stock
books.toscrape,mesaerion the best science fiction stories 18001849,37.59,1.0,science fiction,in stock
books.toscrape,libertarianism for beginners,51.33,2.0,politics,in stock
books.toscrape,its only the himalayas,45.17,2.0,travel,in stock
books.toscrape,in her wake,12.84,1.0,thriller,in stock
books.toscrape,how music works,37.32,2.0,music,in stock
books.toscrape,foolproof preserving a guide to small batch jams jellies pickles condiments and more a foolproof guide to making small batch jams jellies pickles condiments and more,30.52,3.0,food and drink,in stock
books.toscrape,chase me paris nights 2,25.27,5.0,romance,in stock
books.toscrape,black dust,34.53,5.0,romance,in stock
books.toscrape,birdsong a story in pictures,54.64,3.0,childrens,in stock
books.toscrape,americas cradle of quarterbacks western pennsylvanias football factory from johnny unitas to joe montana,22.5,3.0,default,in stock
books.toscrape,aladdin and his wonderful lamp,53.13,3.0,default,in stock
books.toscrape,worlds elsewhere journeys around shakespeares globe,40.3,5.0,nonfiction,in stock
books.toscrape,wall and piece,44.18,4.0,art,in stock
books.toscrape,the four agreements a practical guide to personal freedom,17.66,5.0,spirituality,in stock
books.toscrape,the five love languages how to express heartfelt commitment to your mate,31.05,3.0,nonfiction,in stock
books.toscrape,the elephant tree,23.82,5.0,thriller,in stock
books.toscrape,the bear and the piano,36.89,1.0,childrens,in stock
books.toscrape,sophies world,15.94,5.0,philosophy,in stock
books.toscrape,penny maybe,33.29,3.0,default,in stock
books.toscrape,maude 18831993she grew up with the country,18.02,2.0,default,in stock
books.toscrape,in a dark dark wood,19.63,1.0,mystery,in stock
books.toscrape,behind closed doors,52.22,4.0,thriller,in stock
